Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Saint Lucia,LCA,GDP (current US$),1807640741,1868544444,1998503704,2060955556,2092081549,1497825994,1834796402,2343703788,2519925939
Saint Martin (French Part),MAF,GDP (current US$),,,,,652206037.1,,649206262.8,,
Saint Vincent and the Grenadines,VCT,GDP (current US$),786555555.6,814303703.7,844040740.7,884329629.6,910766666.7,869111111.1,872225925.9,966492592.6,1065962963
Sudan,SDN,GDP (current US$),51726758677,42630376000,41283617976,32333780383,32338079165,27034593750,34229513775,51666875363,1.09E+11
Suriname,SUR,GDP (current US$),5126237646,3317421648,3591679431,3996198867,4016040575,2911807496,3081401726,3620987993,3782437296
Sweden,SWE,GDP (current US$),5.05E+11,5.16E+11,5.41E+11,5.55E+11,5.34E+11,5.47E+11,6.40E+11,5.90E+11,5.93E+11
Switzerland,CHE,GDP (current US$),6.94E+11,6.88E+11,6.95E+11,7.26E+11,7.21E+11,7.42E+11,8.13E+11,8.18E+11,8.85E+11
Syrian Arab Republic,SYR,GDP (current US$),16466863097,12597854884,16369843341,21497782881,22583045053,11155888304,8980060819,,
Tajikistan,TJK,GDP (current US$),8271431485,6992416097,7536402853,7764999999,8300813599,8133963551,8937805347,10713525200,12060602009
United Republic of Tanzania,TZA,GDP (current US$),47413919817,49774409374,53274884533,57003712892,61026731926,66068737786,70655628148,75769974505,79158286334
Thailand,THA,GDP (current US$),4.01E+11,4.13E+11,4.56E+11,5.07E+11,5.44E+11,5.00E+11,5.06E+11,4.96E+11,5.15E+11
Timor-Leste,TLS,GDP (current US$),1595205100,1652603700,1598208400,1566157200,2027034000,2162619200,3621958000,3204753000,2243142908
Togo,TGO,GDP (current US$),5755461035,6071170959,6387422518,7029300383,6992700101,7400284168,8342243646,8169476149,9171261835
Tonga,TON,GDP (current US$),437003078.6,420548712.4,460374354.8,488906838.6,512053692.1,484796854.9,469228219.7,500274898.1,
Trinidad and Tobago,TTO,GDP (current US$),27026080987,23713671528,24040299978,24569079488,23775754305,20807571314,24496505941,30053575132,28139944790
